Company,Country,HQ_or_NL_location,Industry,Company_Type,Role_Classification,AI_Execution_Roles,AI_Product_Roles,Technology_Signals,Use_Case_Clues,Language_Signals,Remote_Policy,Salary_Ranges,Evidence_Links,Confidence,Why_Interesting,Tags
Rabobank,Netherlands,Netherlands,Banking,Internal AI Adoption and AI-Enabled Product,Both Execution + Product,"2 active execution/product-adjacent roles: Agentic SDLC Hub Engineer; (Senior) Back-end Engineer Conversational AI","1 recent closed product role: Product Owner GenAI","AI agents; GenAI; conversational AI; agentic SDLC","Developer productivity; customer interactions; core banking system integration",English,Unknown,Unknown,"https://www.rabobank.jobs/en/job/agentic-sdlc-hub-engineer-the-new-hub/JR_00141961/ | https://www.rabobank.jobs/en/job/senior-back-end-engineer-conversational-ai/JR_00139526/ | https://www.banken.nl/vacatures/45464/rabobank/product-owner-genai",High,"Large traditional bank with active AI-agent engineering and recent GenAI product ownership evidence.","Traditional Industry AI; GenAI Hiring; AI Execution; AI Productization; Internal AI Adoption"
Philips,Netherlands,Eindhoven / Best,Health technology,Internal AI Adoption and AI-Enabled Product,Both Execution + Product,"1 active execution role plus 2 AI internships: Data Scientist - Agentic AI Engineer; AI Application Developer intern; AI Agents intern","1 active product/process role: Services BPE Digital / Generative AI","Agentic AI; LLM; RAG; chatbots; LLM APIs; AI agents","Clinical/healthtech AI; services AI roadmap; deployable AI apps; systems-quality engineering",English,Hybrid/office likely,Unknown,"https://philips.wd3.myworkdayjobs.com/jobs-and-careers/job/Eindhoven/Data-Scientist--Generative-AI-Engineer_559002-2 | https://philips.wd3.myworkdayjobs.com/jobs-and-careers/job/Best/Services-BPE-Digital--Generative-AI_582813-2 | https://philips.wd3.myworkdayjobs.com/jobs-and-careers/job/Eindhoven/Intern-Consultancy-data-modelling_581630 | https://philips.wd3.myworkdayjobs.com/jobs-and-careers/job/Eindhoven/Internship--AI-Agents-for-Systems-Quality-Engineering_585455",High,"Health technology incumbent showing multiple AI execution, roadmap, pilot, and agent-building signals.","Traditional Industry AI; GenAI Hiring; AI Execution; AI Productization; Internal AI Adoption"
HeadFirst Group,Netherlands,Hoofddorp,Workforce/business services,Internal AI Adoption and AI-Enabled Product,Both Execution + Product,"2 active execution roles: Applied AI Engineer - Business Solutions; AI Solutions Engineer","1 active product role: AI Product Manager","Agentic AI; AI apps; Databricks; automation; agents","AI product backlog; business solutions automation; AI-powered apps",English,Unknown,Unknown,"https://werkenbij.headfirst.group/en/vacatures/headfirst-group/ai-product-manager/c9c409b8-16fb-4b0e-aae5-1b4a0a2d78a8/ | https://werkenbij.headfirst.group/en/vacatures/headfirst-group/applied-ai-engineer-business-solutions/0dd11bc6-19bb-4035-a8a2-f80c316b4336/ | https://werkenbij.headfirst.group/en/vacatures/headfirst-group/ai-solutions-engineer-1/e337ce3b-c732-44bb-87cd-ea2628bd38e0/",High,"One of the clearest non-AI-native signals because product ownership and builders are hired together.","Execution + Product; GenAI Hiring; AI Execution; AI Productization; Internal AI Adoption"
Channable,Netherlands,Utrecht,B2B SaaS / ecommerce marketing,AI-Enabled Product,AI Execution Role,"1 active execution role: AI Engineer",None,"AI features; ML; product features","AI-powered product-data workflows; customer-facing AI features",English,Unknown,Unknown,https://channable.recruitee.com/o/ai-engineer,High,"Dutch SaaS company embedding AI directly into existing customer-facing product workflows.","AI-Enabled Product; GenAI Hiring; AI Execution"
OpenUp,Netherlands,Amsterdam,Digital mental wellbeing platform,AI-Enabled Product,AI Execution Role,"1 active execution role: Senior AI Engineer",None,"AI Guide; multi-agent architectures; RAG; grounding systems","AI-powered product experiences in mental wellbeing",English,Unknown,Unknown,https://boards.eu.greenhouse.io/openup/jobs/4847917101,High,"Sensitive-domain product company building AI guide/agent experiences, likely requiring practical architecture and governance.","AI-Enabled Product; GenAI Hiring; AI Execution"
Tellent,Netherlands,Netherlands/remote signal,HR/recruitment SaaS,AI-Enabled Product,AI Product Role,None,"1 active product role: Senior Product Manager, AI & Agents","AI agents; MCP; specialist agents; unified AI layer","People Decision Platform; AI layer across HR/recruitment products",English,Remote/hybrid likely,Unknown,https://careers.tellent.com/o/senior-product-manager-ai-agents,High,"Strong AI productization signal in HR SaaS with agentic/MCP infrastructure language.","AI-Enabled Product; AI Productization; GenAI Hiring"
JetBrains,Netherlands,Amsterdam-eligible,Developer tools,AI-Enabled Product,Both Execution + Product,"1 active AI leadership/execution role: AI Lead, Python Tools","Product leadership implied by AI lead scope","MCP; agent workflows; context management; AI-native tools","AI-native PyCharm/Python developer tooling",English,Remote/Amsterdam-eligible,Unknown,https://job-boards.eu.greenhouse.io/jetbrains/jobs/4845538101,High,"Developer-tooling company embedding AI into mature technical products from an Amsterdam-eligible role.","AI-Enabled Product; GenAI Hiring; AI Execution"
Creative Clicks,Netherlands,Amsterdam,Marketing/adtech,AI-Enabled Product,AI Product Role,None,"1 active product role: AI Product Owner","AI-driven solutions; AI/data/SaaS products","AI roadmap for marketing/adtech solutions",English,Unknown,Unknown,https://creativeclicks.recruitee.com/o/ai-product-owner,Medium-high,"Amsterdam adtech/marketing company with exact AI Product Owner signal.","AI-Enabled Product; AI Productization"
Serrala,Netherlands,Remote/hybrid including Netherlands,Finance automation SaaS,AI-Enabled Product,AI Product Role,None,"1 active product role: AI Product Owner - Finance Automation","AI-enabled; agent-driven execution","Finance automation; agent-driven finance workflows",English,Remote/hybrid,Unknown,"https://careers.serrala.com/job/AI-Product-Owner-Finance-Automation-%28all-genders%29/1348576255/",High,"Finance automation product company hiring AI product ownership for agent-driven workflows.","AI-Enabled Product; AI Productization; GenAI Hiring"
Toku,Netherlands,Remote with Rotterdam listed/strongly preferred,Communications/voice AI/product,AI-Enabled Product,AI Execution Role,"1 active execution role: Applied AI Engineer - LLM & NLP",None,"LLM; NLP; RAG; speech-to-text; production AI","Voice/NLP product capabilities; production AI systems",English,Remote,Unknown,https://careers.toku.co/o/applied-ai-engineer-llm-nlp-1,High,"Applied AI role with explicit LLM/RAG/NLP production scope and Netherlands location signal.","AI-Enabled Product; GenAI Hiring; AI Execution"
CLEVR,Netherlands,Amersfoort,Low-code / digital transformation,AI Services / Consulting,AI Execution Role,"1 active execution role: AI Solutions Engineer",None,"LLMs; prompts; AI agents","Customer solution implementation and AI-enabled low-code workflows",English,Unknown,Unknown,https://job-boards.eu.greenhouse.io/clevr/jobs/4876192101,High,"AI Solutions Engineer signal from an established Netherlands digital transformation company.","AI Execution; Delivery Capacity; Needs Review"
Workwize,Netherlands,Amsterdam,IT hardware management SaaS,AI-Enabled Product,AI Product Role,None,"1 active third-party role: AI Product Manager","AI agents; automation; AI-powered features","Operational product automation; IT hardware management workflows",English,Unknown,Unknown,https://www.welcometothejungle.com/en/companies/workwize/jobs/ai-product-manager_amsterdam_f4swp4xd,Medium,"Promising AI Product Manager signal, but only validated on Welcome to the Jungle rather than current first-party board.","AI-Enabled Product; AI Productization; Needs Review"
Insider One,Netherlands,Europe remote / Amsterdam-eligible signal,Martech SaaS,AI-Native or AI-Core SaaS,AI Product Role,None,"1 active product role: Senior AI Product Manager","LLMs; prompt engineering; RAG; OpenAI; Claude; Mistral","AI-core martech product management",English,Remote Europe,Unknown,https://jobs.lever.co/insiderone/a2c2944d-a53b-4c40-9a51-1a8ca69db18a,High,"AI-core SaaS product role with explicit GenAI fundamentals and model API requirements.","AI Productization; GenAI Hiring; AI-Native"
Eneco,Netherlands,Netherlands,Energy/utilities,Internal AI Adoption,Unclear AI Role,"1 active internship: AI-driven automation intern",None,"AI Risk Assistant; AI-driven workflows; knowledge retrieval","Risk identification; reporting; quality checks; knowledge retrieval",English/Dutch likely,Unknown,Unknown,https://www.werkenbijeneco.nl/vacatures/risk-management-cost-schedule-risk-analysis-ai-driven-automation-intern-2920,Medium-high,"Energy incumbent experimenting with AI workflow automation, but signal is internship-level.","Traditional Industry AI; Internal AI Adoption; Needs Review"
IND,Netherlands,Netherlands,Public sector / immigration,Internal AI Adoption,AI Execution Role,"1 active adjacent execution role: Machine Learning Engineer with LLM/agentic stack",None,"LLM; vLLM; Langfuse; MCP; LangGraph; agentic AI; GPU cluster","Internal public-sector LLM inference and agentic applications",Dutch,Unknown,Unknown,https://www.werkenbijdeoverheid.nl/vacatures/machine-learning-engineer-IND-2026-8631,High,"Government organization with unusually explicit LLM and agentic AI engineering stack.","Public Sector AI; GenAI Hiring; AI Execution; Internal AI Adoption"
Rijkswaterstaat,Netherlands,Netherlands,Public infrastructure,Internal AI Adoption,Unclear AI Role,"1 active adjacent role: Medior datascientist focused on generative AI",None,"Generative AI","Generative AI applications for infrastructure/public-service use cases",Dutch,Unknown,Unknown,https://www.werkenbijdeoverheid.nl/vacatures/medior-datascientist-RWS-2026-5765,Medium-high,"Public infrastructure organization with explicit generative AI application work despite generic data scientist title.","Public Sector AI; GenAI Hiring; Internal AI Adoption; Needs Review"
Ministerie van Defensie,Netherlands,Netherlands,Defense / public sector,Internal AI Adoption,AI Product Role,None,"1 active product/platform role: Senior Product Owner Platformen","Data science and AI platforms","AI platform design, build, and development for defense",Dutch,Unknown,Unknown,https://www.werkenbijdeoverheid.nl/vacatures/senior-product-owner-platformen-DEF-2026-7351,High,"Defense organization hiring product ownership for AI/data-science platforms.","Public Sector AI; AI Productization; Internal AI Adoption"
UMCG,Netherlands,Groningen,Healthcare / academic hospital,Internal AI Adoption or AI-Enabled Clinical Product,AI Execution Role,"1 active execution role: AI Engineer Medical Imaging",None,"AI algorithms; medical imaging","Clinical AI solutions; medical imaging workflow improvement",Dutch,Unknown,Unknown,https://werkenbijumcg.nl/-/vacatures/ai-engineer-medical-imaging/10419-02s000ahrp,High,"Healthcare institution hiring an exact AI Engineer role for clinical AI applications.","Healthcare AI; AI Execution; Traditional Industry AI"
Douane,Netherlands,Netherlands,Public sector / customs,Internal AI Adoption,Unclear AI Role,"1 active adjacent role: Edge & IOT Engineer with AI BOX integration",None,"AI models on edge devices; AI BOX","Customs inspection/analysis at scale",Dutch,Unknown,Unknown,https://www.werkenbijdeoverheid.nl/vacatures/edge-iot-engineer-DOU-2026-5954,Medium,"Operational AI deployment signal at customs, but title is edge/IoT rather than V1 AI role.","Public Sector AI; Internal AI Adoption; Needs Review"
Accenture,Netherlands,Amsterdam,Consulting / systems integration,AI Services / Consulting,AI Execution Role,"1 active execution role: GenAI Engineer",None,"LLM; GenAI; agentic workflows","Client delivery and AI implementation",English,Unknown,Unknown,https://www.accenture.com/nl-en/careers/jobdetails?id=R00316384_en,High,"Large systems integrator hiring explicit GenAI execution talent in Amsterdam; delivery-capacity signal.","Delivery Capacity; GenAI Hiring; AI Execution"
ML6,Netherlands,Amsterdam / Eindhoven,AI consultancy / AI services,AI Services / Consulting,AI Execution Role,"5 active execution roles: Senior GenAI Engineer; Senior AI Engineer Tech Lead; Technical Squad Lead GenAI; AI Platform Engineer; Medior AI Engineer",None,"GenAI; agentic workflows; LLM-powered workflows; RAG; MCP; AI agents","Client AI projects; AI work assistants; GenAI platforms; production AI systems",English,Hybrid/office likely,Unknown,"https://jobs.ml6.eu/jobs/7823140-senior-genai-engineer-emerging | https://jobs.ml6.eu/jobs/7512677-senior-ai-engineer-tech-lead | https://jobs.ml6.eu/jobs/7451964-technical-squad-lead-genai | https://jobs.ml6.eu/jobs/7372422-ai-platform-engineer-unum | https://jobs.ml6.eu/jobs/7018595-medior-ai-engineer",High,"High-density GenAI hiring from an AI services firm; strong signal of Netherlands client demand and delivery capacity.","Delivery Capacity; GenAI Hiring; AI Execution; AI-Native"
Xebia,Netherlands,Netherlands,Digital consultancy,AI Services / Consulting,AI Execution Role,"2 active execution roles: Gen AI Engineer; AI Engineer",None,"AI agents; GenAI tooling; agentic AI systems; ML","Client GenAI tooling; engineering organization AI agents",English,Unknown,Unknown,"https://xebiacareers.recruitee.com/api/offers/gen-ai-engineer | https://xebiacareers.recruitee.com/api/offers/ai-engineer",High,"Consultancy hiring both GenAI and AI engineering, indicating strong delivery demand.","Delivery Capacity; GenAI Hiring; AI Execution"
Sogeti,Netherlands,Utrecht,IT services / consulting,AI Services / Consulting,AI Execution Role,"2 active roles: AI Engineer; Agentic AI Lead",None,"LLMs; multi-agent systems; orchestration; agentic AI","Production AI solutions for clients",Dutch,Unknown,Unknown,"https://careers.capgemini.com/job/Utrecht-AI-Engineer/1375200733/?feedId=388633&utm_source=CareerSite&tcsource=apply | https://careers.capgemini.com/job/Utrecht-Agentic-AI-Lead/1377089833/?feedId=388633&utm_source=CareerSite&tcsource=apply",High,"Client-delivery firm with production AI and agentic AI leadership signals.","Delivery Capacity; GenAI Hiring; AI Execution"
Capgemini,Netherlands,Utrecht,IT services / consulting,AI Services / Consulting,AI Execution Role,"2 active execution roles: AI Engineer; Agentic AI Engineer",None,"AI components; agentic AI; autonomous planning; reasoning; task execution","End-to-end client AI implementation",Dutch/English,Unknown,Unknown,"https://careers.capgemini.com/job/Utrecht-AI-Engineer/1370576033/?feedId=388633&utm_source=CareerSite&tcsource=apply | https://careers.capgemini.com/job/Utrecht-Agentic-AI-Engineer/1246608601/?feedId=388633&utm_source=CareerSite&tcsource=apply",High,"Major systems integrator with multiple explicit AI engineering vacancies in Utrecht.","Delivery Capacity; GenAI Hiring; AI Execution"
EY,Netherlands,Amsterdam,Professional services,AI Services / Consulting,AI Execution Role,"1 active execution role: AI Engineer",None,"AI models; AI systems; responsible AI/platforms in search context","AI advisory and implementation",English,Unknown,Unknown,"https://careers.ey.com/ey/job/Amsterdam-AI-Engineer-1083-HP/1259008501/ | https://careers.ey.com/ey/search/?q=AI&locationsearch=Amsterdam",High,"Professional services firm with explicit Amsterdam AI Engineer role.","Delivery Capacity; AI Execution"
Sopra Steria / Ordina,Netherlands,Netherlands,IT services / consulting,AI Services / Consulting,Unclear AI Role,"1 active AI practice leadership role plus secondary ML role",None,"Data Science & AI; NLP; Responsible AI; MLOps","AI applications for end customers",Dutch,Unknown,Unknown,"https://jobs.smartrecruiters.com/SopraSteria1/744000119193123-practice-lead-data-science-a-i- | https://jobs.smartrecruiters.com/SopraSteria1/744000061211360-senior-data-scientist-ml-engineer",High,"AI practice leadership is a delivery-capacity signal, but not a clean V1 execution/product role.","Delivery Capacity; Needs Review"
Macaw,Netherlands,Netherlands,Digital consultancy,AI Services / Consulting,Unclear AI Role,"1 active architecture role plus AI Developer listing",None,"AI; digital products; Microsoft stack","Customer AI and digital-product projects",Dutch,Unknown,Unknown,"https://www.macaw.nl/vacatures/solution-architect-ai-digital-products/ | https://www.macaw.nl/vacatures/",High,"AI and digital-products architecture plus AI Developer listing indicate Microsoft-oriented AI delivery capacity.","Delivery Capacity; AI Execution; Needs Review"
Conclusion,Netherlands,Netherlands,IT services / consulting,AI Services / Consulting,Unclear AI Role,"2 active AI strategy/business roles",None,"AI roadmap; Data & AI","AI propositions and client projects",Dutch,Unknown,Unknown,"https://careers.conclusion.com/nl-nl/vacatures/2604535?hsLang=nl-nl | https://careers.conclusion.com/nl-nl/vacatures/2563753?hsLang=nl-nl",High,"Strong AI business-development/strategy hiring, less direct as engineering/product ownership evidence.","Delivery Capacity; AI Productization; Needs Review"
Sia Partners,Netherlands,Amsterdam,Consulting,AI Services / Consulting,AI Execution Role,"1 active adjacent execution role: Machine Learning Engineer",None,"ML/AI solutions; software engineering","Production-level client ML/AI solutions",English,Unknown,Unknown,https://www.sia-partners.com/en/career/machine-learning-engineer-2,High,"Consulting delivery role in Amsterdam; broader AI/ML rather than GenAI-specific.","Delivery Capacity; AI Execution; Needs Review"
KPMG,Netherlands,Netherlands,Professional services,AI Services / Consulting,Unclear AI Role,"1 active adjacent role: Manager Data Architect in AI & Data team",None,"AI/ML models; generative AI; AI/data architectures","AI/data architecture advisory",Dutch,Unknown,Unknown,https://www.werkenbijkpmg.nl/vacature/manager-data-architect,High,"Advisory architecture signal, useful for market context but not a clean V1 hiring target.","Delivery Capacity; GenAI Hiring; Needs Review"
DataNorth,Netherlands,Netherlands,AI consultancy,AI Services / Consulting,Unclear AI Role,"2 active AI consultant roles: Senior AI Consultant; Medior AI Consultant",None,"AI; PoCs; AI solutions","Client AI questions; prototypes and complete solutions",English/Dutch likely,Unknown,Unknown,"https://datanorth.ai/vacancy/senior-ai-consultant | https://datanorth.ai/vacancy/medior-ai-consultant",High,"AI consultancy hiring consultants to build client solutions; delivery-capacity signal.","Delivery Capacity; AI Execution; AI-Native"
Levy Professionals,Netherlands,Amsterdam,Staffing / intermediary,Unknown,AI Execution Role,"1 active intermediary role: AI Engineer / Senior GenAI and MLOps Engineer",None,"GenAI; MLOps","Unknown client implementation",English,Unknown,Unknown,https://levy-professionals.com/job/ai-engineer-bbbh18628_1780910416/,Medium,"Useful market-demand signal but employer/client attribution is unclear.","GenAI Hiring; AI Execution; Needs Review"
